Sun Mar 12 18:56:57 2023, 268.341590, parallel, 1800000, 1800000, 1800000, 1800000, 1800000, 1800000, 1800000, 1800000, 1452450810, 1994207236
Sun Mar 12 18:57:32 2023, 272.048840, parallel, 1800000, 1800000, 1800000, 1800000, 1800000, 1800000, 1800000, 1800000, 1997601575, 2533075241
Sun Mar 12 18:58:07 2023, 273.586235, parallel, 1800000, 1800000, 1800000, 1800000, 1800000, 1800000, 1800000, 1800000, 2535749184, 3065788172
Sun Mar 12 18:58:42 2023, 273.644975, parallel, 1800000, 1800000, 1800000, 1800000, 1800000, 1800000, 1800000, 1800000, 3069424088, 3588422881
Sun Mar 12 18:59:17 2023, 278.010832, parallel, 1800000, 1800000, 1800000, 1800000, 1800000, 1800000, 1800000, 1800000, 3591854269, 4115027368
Sun Mar 12 18:59:53 2023, 279.801762, parallel, 1800000, 1800000, 1800000, 1800000, 1800000, 1800000, 1800000, 1800000, 4117958269, 4641963946
Sun Mar 12 19:00:29 2023, 282.450676, parallel, 1800000, 1800000, 1800000, 1800000, 1800000, 1800000, 1800000, 1800000, 4645268686, 5177016715
Sun Mar 12 19:01:05 2023, 283.155806, parallel, 1800000, 1800000, 1800000, 1800000, 1800000, 1800000, 1800000, 1800000, 5179791305, 5698412780
Mon Mar 13 14:16:41 2023, 12.481568, serial, 1800000, 400000, 400000, 400000, 400000, 400000, 400000, 400000, 768074388, 921631429
Mon Mar 13 14:17:49 2023, 12.587201, serial, 1800000, 400000, 400000, 400000, 400000, 400000, 400000, 400000, 981406117, 1133451199
Wed Mar 22 16:46:37 2023, 13.420886, serial, 400000, 400000, 400000, 400000, 400000, 400000, 400000, 400000, ,
Wed Mar 22 16:48:33 2023, 13.446044, serial, 1800000, 400000, 400000, 400000, 400000, 400000, 400000, 400000, 1353704176, 1504998710
Wed Mar 22 22:38:45 2023, 16.564636, serial,, 65613695065, 66355901661
Wed Mar 22 22:44:10 2023, 46.309462, serial, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 258514872807, 259379470752
Wed Mar 22 22:49:14 2023, 46.309891, serial, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 218540273, 1080805887
Wed Mar 22 22:56:09 2023, 46.310995, serial, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 5285520892, 6150498109
Wed Mar 22 23:00:51 2023, 20.754202, serial, 2500000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 9105470342, 9512727051
Wed Mar 22 23:02:25 2023, 20.743105, serial, 2500000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 10360717739, 10766284388
Wed Mar 22 23:03:34 2023, 20.735408, serial, 2500000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 11329789049, 11738205606
Wed Mar 22 23:04:19 2023, 20.738496, serial, 2500000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 12031403952, 12438543047
Wed Mar 22 23:05:40 2023, 20.750550, serial, 2500000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 13142983504, 13549392681
Wed Mar 22 23:11:23 2023, 21.027167, defaultserial, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 17213905334, 17658399374
Wed Mar 22 23:11:52 2023, 20.909688, defaultserial, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 17756753797, 18168310727
Wed Mar 22 23:12:24 2023, 20.919532, defaultserial, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 18303750017, 18716992916
Wed Mar 22 23:12:50 2023, 20.894511, defaultserial, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 18793238998, 19517923544
